mes,cliente,canal,importe,compras
2024-01-01,100_G,Mayorista,975259.1586,1
2024-01-01,10204_G,Minorista,897716.916,1
2024-01-01,10439_G,Minorista,1530551.772,2
2024-01-01,10566_G,Online,9387.480299000004,2
2024-01-01,11005_G,Minorista,2984928.66,1
2024-01-01,111_G,Mayorista,12112378.7985,9
2024-01-01,112_G,Minorista,709116.38025,1
2024-01-01,11225_G,Online,18316.529,1
2024-01-01,115_G,Minorista,1053090.84,1
2024-01-01,11526_G,Minorista,396718.12,1
2024-01-01,11577_G,Minorista,413931.453,2
2024-01-01,116_G,Mayorista,893745.522,1
2024-01-01,11794_G,Online,24429.752,1
2024-01-01,11874_G,Minorista,4167281.457,4
2024-01-01,129_G,Minorista,1700001.72975,2
2024-01-01,136_G,Minorista,627866.253,2
2024-01-01,13679_G,Minorista,427283.396155,1
2024-01-01,139_G,Minorista,430391.9121,1
2024-01-01,14123_G,Online,32721.488,1
2024-01-01,14229_G,Online,10498.75,1
2024-01-01,144_G,Supermercados,6455518.77,4
2024-01-01,148_G,Minorista,199393.2941,1
2024-01-01,154_G,Minorista,777253.6663,1
2024-01-01,155_G,Minorista,3628475.49075,3
2024-01-01,1553_G,Supermercados,77346672.08080001,63
2024-01-01,1554_G,Mayorista,27298012.8285,2
2024-01-01,1615_G,Mayorista,1146351.531,1
2024-01-01,16434_G,Minorista,9054514.3986,2
2024-01-01,167_G,Minorista,206421.804,1
2024-01-01,170_G,Minorista,317630.5449,1
2024-01-01,177_G,Minorista,0.0,4
2024-01-01,17893_G,Online,2347.934,1
2024-01-01,179_G,Minorista,1858651.021,1
2024-01-01,18088_G,Online,11625.61,1
2024-01-01,182_G,Minorista,0.0,1
2024-01-01,1825_G,Minorista,2336371.166,5
2024-01-01,18526_G,Online,37595.726618,1
2024-01-01,18778_G,Minorista,830323.26075,1
2024-01-01,191_G,Minorista,401312.778,1
2024-01-01,19404_G,Online,26642.149,1
2024-01-01,196_G,Mayorista,2042044.8246,1
2024-01-01,2028_G,Supermercados,7634420.932,1
2024-01-01,20462_G,Online,45543.802,1
2024-01-01,20658_G,Online,66709.091,1
2024-01-01,20688_G,Supermercados,642014.003301,1
2024-01-01,209_G,Mayorista,4308476.702,3
2024-01-01,21302_G,Minorista,352690.098,2
2024-01-01,21575_G,Online,25126.446,1
2024-01-01,2216_G,Mayorista,2417450.562,1
2024-01-01,223_G,Minorista,3460277.495,2
2024-01-01,224_G,Minorista,0.0,1
2024-01-01,2247_G,Minorista,11087.5156,1
2024-01-01,22976_G,Online,22431.405,1
2024-01-01,240_G,Minorista,1359754.4826,2
2024-01-01,242_G,Minorista,0.0,1
2024-01-01,24772_G,Online,24895.041,1
2024-01-01,256_G,Mayorista,10752382.9936,6
2024-01-01,25612_G,Online,86124.793,1
2024-01-01,25816_G,Online,25564.463,1
2024-01-01,26160_G,Online,35797.52,1
2024-01-01,26670_G,Online,133916.386794,1
2024-01-01,26911_G,Online,38414.05,2
2024-01-01,26951_G,Online,28403.305,1
2024-01-01,27094_G,Online,138539.114842,1
2024-01-01,27162_G,Supermercados,1234482.6730000002,2
2024-01-01,273_G,Mayorista,889937.82,2
2024-01-01,274_G,Mayorista,14215985.3763,4
2024-01-01,27583_G,Online,23707.438,1
2024-01-01,27589_G,Online,86124.793,1
2024-01-01,28191_G,Mayorista,16129976.645500002,8
2024-01-01,28300_G,Online,25259.504,1
2024-01-01,28651_G,Online,23707.438,1
2024-01-01,287_G,Minorista,841452.757,2
2024-01-01,288_G,Mayorista,1791042.2459999998,4
2024-01-01,29397_G,Online,111570.962429,1
2024-01-01,295_G,Minorista,0.0,2
2024-01-01,30290_G,Online,140527.677415,1
2024-01-01,30299_G,Supermercados,46505482.7814,3
2024-01-01,30300_G,Minorista,609392.71425,1
2024-01-01,309_G,Mayorista,0.0,3
2024-01-01,31616_G,Online,27342.149,1
2024-01-01,320_G,Minorista,126256.698,2
2024-01-01,33003_G,Minorista,3012737.12955,2
2024-01-01,33587_G,Online,31731.616,1
2024-01-01,341_G,Minorista,1065012.504,4
2024-01-01,34505_G,Minorista,39128.68162,1
2024-01-01,34652_G,Online,19604.959,1
2024-01-01,347_G,Minorista,421532.28,2
2024-01-01,353_G,Minorista,104390.778,1
2024-01-01,3535_G,Minorista,990407.3256,1
2024-01-01,37438_G,Online,145932.620201,1
2024-01-01,37461_G,Supermercados,0.0,2
2024-01-01,37816_G,Online,71430.577,2
2024-01-01,39162_G,Online,49068.461,2
2024-01-01,39238_G,Online,112606.274181,1
2024-01-01,39604_G,Online,58279.305616,2
2024-01-01,39980_G,Online,118190.082,1
2024-01-01,401_G,Minorista,5803424.98,4
2024-01-01,40985_G,Online,18701.653,1
2024-01-01,41386_G,Online,33384.264616,1
2024-01-01,41824_G,Online,27342.149,1
2024-01-01,41837_G,Online,0.0,1
2024-01-01,42055_G,Online,25470.248,1
2024-01-01,42419_G,Online,17965.29,1
2024-01-01,42804_G,Online,26642.149,1
2024-01-01,43097_G,Online,28161.983,1
2024-01-01,43231_G,Online,110752.893,2
2024-01-01,433_G,Mayorista,17186817.2738,2
2024-01-01,43357_G,Online,43494.214,1
2024-01-01,438_G,Minorista,192089.426,1
2024-01-01,44004_G,Online,18701.653,1
2024-01-01,44058_G,Online,113211.57,2
2024-01-01,446_G,Mayorista,588176.7984,1
2024-01-01,44805_G,Online,45543.802,1
2024-01-01,45001_G,Online,36056.198,1
2024-01-01,45321_G,Online,28482.571,1
2024-01-01,45521_G,Online,19822.314,1
2024-01-01,45524_G,Online,23707.438,1
2024-01-01,45637_G,Online,19822.314,1
2024-01-01,45710_G,Online,32577.653422,1
2024-01-01,46131_G,Online,29528.926,1
2024-01-01,46602_G,Online,24895.041,1
2024-01-01,469_G,Minorista,622100.308,3
2024-01-01,47505_G,Online,27595.231,1
2024-01-01,48073_G,Online,62406.145872,1
2024-01-01,481_G,Minorista,0.0,1
2024-01-01,48983_G,Catalogo,598793.77008,1
2024-01-01,490_G,Mayorista,929116.044,1
2024-01-01,493_G,Minorista,1130154.152,2
2024-01-01,49632_G,Online,35966.942,1
2024-01-01,50259_G,Online,13798.347000000002,3
2024-01-01,50276_G,Online,6858.089,1
2024-01-01,50528_G,Online,38483.471000000005,2
2024-01-01,50759_G,Online,62612.397,2
2024-01-01,50770_G,Online,33618.621,1
2024-01-01,51253_G,Online,27342.149,1
2024-01-01,515_G,Mayorista,893745.522,1
2024-01-01,51873_G,Online,199697.947603,1
2024-01-01,51944_G,Online,23707.438,1
2024-01-01,52043_G,Online,106543.802,2
2024-01-01,52094_G,Online,26837.19,1
2024-01-01,521_D,Mayorista,0.0,1
2024-01-01,521_G,Mayorista,5609672.0,1
2024-01-01,52662_G,Online,33384.264616,1
2024-01-01,53113_G,Online,19115.702,1
2024-01-01,53226_G,Online,0.0,1
2024-01-01,53526_G,Online,0.0,1
2024-01-01,53617_G,Online,224104.888578,1
2024-01-01,54185_G,Online,19767.787,1
2024-01-01,54322_G,Online,16354.545,1
2024-01-01,54451_G,Online,0.0,1
2024-01-01,54501_G,Online,18316.529,1
2024-01-01,54505_G,Online,0.0,1
2024-01-01,54542_G,Online,0.0,2
2024-01-01,54560_G,Online,0.0,1
2024-01-01,54574_G,Online,0.0,1
2024-01-01,54601_G,Online,0.0,1
2024-01-01,54616_G,Online,0.0,1
2024-01-01,54675_G,Online,0.0,1
2024-01-01,54718_G,Online,0.0,1
2024-01-01,54779_G,Online,111961.983,1
2024-01-01,54878_G,Online,26547.934,1
2024-01-01,54905_G,Online,12368.595,1
2024-01-01,54964_G,Online,148863.50297099998,2
2024-01-01,55054_G,Online,12596.783,1
2024-01-01,55095_G,Online,0.0,1
2024-01-01,55131_G,Online,0.0,1
2024-01-01,55230_G,Online,0.0,1
2024-01-01,55253_G,Online,0.0,1
2024-01-01,55329_G,Online,0.0,1
2024-01-01,55358_G,Online,66709.091,1
2024-01-01,55389_G,Online,37770.922916,3
2024-01-01,55393_G,Online,0.0,1
2024-01-01,55455_G,Online,36179.339,3
2024-01-01,55471_G,Online,74780.165,1
2024-01-01,55503_G,Online,19036.364,1
2024-01-01,55544_G,Online,135384.297,2
2024-01-01,55681_G,Online,0.0,1
2024-01-01,55696_G,Online,0.0,1
2024-01-01,55843_G,Online,0.0,1
2024-01-01,55893_G,Online,0.0,1
2024-01-01,55903_G,Online,109376.0511,3
2024-01-01,55931_G,Online,32444.812,1
2024-01-01,55955_G,Online,20227.273,1
2024-01-01,55956_G,Online,25777.686,1
2024-01-01,55957_G,Online,8561.973,1
2024-01-01,55958_G,Online,23707.438,1
2024-01-01,55959_G,Online,19036.364,1
2024-01-01,55960_G,Online,16080.992,1
2024-01-01,55961_G,Online,13635.775,1
2024-01-01,55962_G,Online,30719.008,1
2024-01-01,55963_G,Online,38226.447,2
2024-01-01,55964_G,Online,18316.529,1
2024-01-01,55965_G,Online,26209.917,1
2024-01-01,55966_G,Online,17171.901,1
2024-01-01,55967_G,Online,14298.347,1
2024-01-01,55968_G,Online,5930.579,1
2024-01-01,55969_G,Online,5930.579,1
2024-01-01,55970_G,Online,18316.529,1
2024-01-01,55971_G,Online,16354.545,1
2024-01-01,55972_G,Online,5930.579,1
2024-01-01,55973_G,Online,46938.796061,1
2024-01-01,55974_G,Online,106473.341053,1
2024-01-01,55975_G,Online,23707.438,1
2024-01-01,55976_G,Online,18023.967,1
2024-01-01,55977_G,Online,120491.615508,1
2024-01-01,55978_G,Online,4695.868,2
2024-01-01,55979_G,Online,20790.083,1
2024-01-01,55980_G,Online,32698.347,1
2024-01-01,55981_G,Online,18316.529,1
2024-01-01,55982_G,Online,29431.808,2
2024-01-01,55983_G,Online,35839.669,1
2024-01-01,55984_G,Online,2347.934,1
2024-01-01,55985_G,Online,18316.529,1
2024-01-01,55986_G,Online,19036.364,1
2024-01-01,55987_G,Online,28504.132,1
2024-01-01,55988_G,Online,20227.273,1
2024-01-01,55989_G,Online,86721.488,1
2024-01-01,55990_G,Online,111961.983,1
2024-01-01,55991_G,Online,18023.967,1
2024-01-01,55992_G,Online,57338.843,1
2024-01-01,55993_G,Online,27543.503,1
2024-01-01,55994_G,Online,86721.488,1
2024-01-01,55995_G,Online,23707.438,1
2024-01-01,55996_G,Online,224104.888578,1
2024-01-01,55997_G,Online,20790.083,1
2024-01-01,55998_G,Online,36633.058,2
2024-01-01,55999_G,Online,16354.545,1
