fecha,codigo_art,dias_reaprovisionamiento,ingreso,egreso
2021-02-22,09-10016A,90,80,72
2021-02-26,09-10016A,90,280,0
2021-03-03,09-10016A,90,12,24
2021-03-04,09-10016A,90,8,0
2021-03-11,09-10016A,90,100,0
2021-03-16,09-10016A,90,0,104
2021-03-18,09-10016A,90,48,100
2021-03-23,09-10016A,90,0,20
2021-03-24,09-10016A,90,0,92
2021-03-25,09-10016A,90,8,8
2021-03-26,09-10016A,90,0,8
2021-03-31,09-10016A,90,0,4
2021-04-01,09-10016A,90,8,8
2021-04-14,09-10016A,90,8,0
2021-04-21,09-10016A,90,0,4
2021-05-05,09-10016A,90,0,48
2021-06-04,09-10016A,90,440,0
2021-06-15,09-10016A,90,216,0
2021-06-19,09-10016A,90,0,60
2021-06-22,09-10016A,90,8,16
2021-06-23,09-10016A,90,0,4
2021-06-24,09-10016A,90,0,8
2021-06-28,09-10016A,90,104,236
2021-06-29,09-10016A,90,0,4
2021-06-30,09-10016A,90,228,668
2021-07-15,09-10016A,90,48,0
2021-07-19,09-10016A,90,4,8
2021-08-23,09-10016A,90,24,0
2021-08-25,09-10016A,90,0,40
2021-08-31,09-10016A,90,556,0
2021-09-09,09-10016A,90,24,72
2021-09-17,09-10016A,90,8,112
2021-09-22,09-10016A,90,40,80
2021-09-23,09-10016A,90,0,12
2021-09-24,09-10016A,90,0,8
2021-09-27,09-10016A,90,44,48
2021-09-28,09-10016A,90,0,44
2021-09-29,09-10016A,90,24,56
2021-09-30,09-10016A,90,0,36
2021-10-04,09-10016A,90,52,52
2021-10-06,09-10016A,90,48,48
2021-10-07,09-10016A,90,244,316
2021-10-19,09-10016A,90,560,0
2021-10-26,09-10016A,90,0,4
2021-10-27,09-10016A,90,4,20
2021-10-29,09-10016A,90,80,164
2021-11-15,09-10016A,90,172,0
2021-11-18,09-10016A,90,552,0
2021-11-24,09-10016A,90,0,28
2021-11-25,09-10016A,90,216,504
2021-11-30,09-10016A,90,0,4
2021-12-06,09-10016A,90,356,0
2021-12-10,09-10016A,90,132,264
2021-12-13,09-10016A,90,0,120
2021-12-14,09-10016A,90,12,28
2021-12-15,09-10016A,90,0,8
2021-12-16,09-10016A,90,428,24
2021-12-20,09-10016A,90,0,28
2021-12-22,09-10016A,90,24,56
2022-01-10,09-10016A,90,4,8
2022-01-12,09-10016A,90,152,0
2022-01-20,09-10016A,90,4,16
2022-01-25,09-10016A,90,0,20
2022-01-28,09-10016A,90,84,92
2022-01-31,09-10016A,90,0,252
2022-02-01,09-10016A,90,228,228
2022-02-03,09-10016A,90,4,0
2022-02-14,09-10016A,90,1448,1460
2022-02-24,09-10016A,90,12,24
2022-02-25,09-10016A,90,40,144
2022-03-07,09-10016A,90,40,0
2022-03-11,09-10016A,90,88,0
2022-03-14,09-10016A,90,196,400
2022-03-22,09-10016A,90,40,4
2022-03-25,09-10016A,90,128,268
2022-03-30,09-10016A,90,0,4
2022-03-31,09-10016A,90,100,204
2022-04-05,09-10016A,90,152,0
2022-04-08,09-10016A,90,0,24
2022-04-11,09-10016A,90,16,36
2022-04-26,09-10016A,90,0,12
2022-04-27,09-10016A,90,0,4
2022-04-28,09-10016A,90,60,136
2022-04-29,09-10016A,90,84,184
2022-05-09,09-10016A,90,0,24
2022-05-20,09-10016A,90,0,32
2022-05-23,09-10016A,90,40,132
2022-05-27,09-10016A,90,28,56
2022-05-31,09-10016A,90,40,104
2022-06-07,09-10016A,90,40,120
2022-06-09,09-10016A,90,40,80
2022-06-13,09-10016A,90,60,0
2022-06-21,09-10016A,90,0,16
2022-06-22,09-10016A,90,60,200
2022-06-27,09-10016A,90,0,4
2022-06-30,09-10016A,90,0,4
2022-07-11,09-10016A,90,0,28
2022-07-14,09-10016A,90,0,4
2022-07-19,09-10016A,90,40,148
